book_title,author_name,setting,nearest_setting_lon,nearest_setting_lat,residence,nearest_residence_lon,nearest_residence_lat,distance
The Call of the Wild,Jack London,"Yukon, Canada",-135,64.2823274,"Yukon, Canada",-135,64.2823274,0
Women in Love,D. H. Lawrence,"Derby, England",-1.4746186,52.9225301,"Eastwood, England",-1.308544,53.01811499999999,9.57
A Confederacy of Dunces,John Kennedy Toole,"New Orleans, LA",-90.0715323,29.95106579999999,"New Orleans, LA",-90.0715323,29.95106579999999,0
White Teeth,Zadie Smith,"London, England",-0.1277583,51.5073509,"London, England",-0.1277583,51.5073509,0
American Pastoral,Philip Roth,"Newark, NJ",-74.1723667,40.735657,"Newark, NJ",-74.1723667,40.735657,0
The Corrections,Jonathan Franzen,"St. Louis, MO",-90.19940419999999,38.6270025,"St. Louis, MO",-90.19940419999999,38.6270025,0
The Corrections,Jonathan Franzen,"New York City, NY",-74.0059728,40.7127753,"New York City, NY",-74.0059728,40.7127753,0
An American Tragedy,Theodore Dreiser,"Chicago, IL",-87.6297982,41.8781136,"Chicago, IL",-87.6297982,41.8781136,0
A Room with a View,E. M. Forster,"Holmbury St Mary, England",-0.410101,51.186213,"Weybridge, England",-0.457904,51.3716269,12.99
The Ambassadors,Henry James,"Paris, France",2.3522219,48.856614,"Paris, France",2.3522219,48.856614,0
Zeno's Conscience,Italo Svevo,"Trieste, Italy",13.7768182,45.6495264,"Trieste, Italy",13.7768182,45.6495264,0
The Stand,Stephen King,"Boulder, CO",-105.2705456,40.0149856,"Boulder, CO",-105.2705456,40.0149856,0
Rabbit is Rich,John Updike,Pennsylvania,-77.1945247,41.2033216,"Berks County, PA",-75.9927652,40.3451566,86.52
Of Mice and Men,John Steinbeck,"Soledad, California",-121.3263187,36.424687,"Salinas, CA",-121.6555013,36.6777372,25.32
The Plague,Albert Camus,"Oran, Algeria",-0.6349319,35.6987388,"Algiers, Algeria",3.0587561,36.753768,218.62
Wide Sargasso Sea,Jean Rhys,"Massacre, Dominica",-61.389566,15.3490007,"Roseau, Dominica",-61.37935539999999,15.3091676,2.84
The Leopard,Giuseppe Tomasi di Lampedusa,"Sicily, Italy",14.0153557,37.5999938,"Sicily, Italy",14.0153557,37.5999938,0
The Remains of the Day,Kazuo Ishiguro,"Oxford, England",-1.2577263,51.7520209,"Surrey, England",-0.5599501,51.31475930000001,42.62
2666,Roberto Bolano,"Ciudad Juárez, Mexico",-106.4245478,31.6903638,"Mexico City, Mexico",-99.133208,19.4326077,961.52
